epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,7980.41,0.63378,0.56749,1.10773,0.92778,0.9427,0.96732,0.85317,0.54404,0.37262,1.08577,0.000367967,0.000367967,0.000367967
77,8085.22,0.63221,0.55654,1.10636,0.93256,0.93627,0.96519,0.85221,0.5351,0.37245,1.08324,0.00035382,0.00035382,0.00035382
78,8189.99,0.62763,0.55072,1.10619,0.91793,0.94869,0.96486,0.84871,0.54513,0.37081,1.08516,0.000339673,0.000339673,0.000339673
79,8294.63,0.62427,0.54882,1.1024,0.91817,0.95591,0.9657,0.84976,0.54402,0.37172,1.0913,0.000325526,0.000325526,0.000325526
80,8399.16,0.62396,0.54631,1.1024,0.93901,0.93932,0.96486,0.85559,0.52719,0.3639,1.0794,0.000311379,0.000311379,0.000311379
81,8503.93,0.62394,0.53584,1.10665,0.92711,0.93534,0.96565,0.85412,0.5354,0.37557,1.08015,0.000297232,0.000297232,0.000297232
82,8608.64,0.62435,0.53542,1.10206,0.92657,0.93767,0.96326,0.85143,0.53333,0.37898,1.0775,0.000283085,0.000283085,0.000283085
83,8713.37,0.62213,0.5309,1.10429,0.93512,0.94683,0.96571,0.85402,0.53094,0.3621,1.0738,0.000268938,0.000268938,0.000268938
84,8817.65,0.61765,0.53132,1.09997,0.92151,0.95438,0.96404,0.85267,0.53376,0.36326,1.07978,0.000254791,0.000254791,0.000254791
85,8922.3,0.60881,0.52346,1.09236,0.91828,0.95793,0.96662,0.85716,0.52765,0.36356,1.06989,0.000240644,0.000240644,0.000240644
86,9026.88,0.6171,0.52192,1.09926,0.92056,0.94468,0.96373,0.85357,0.53071,0.3667,1.07285,0.000226497,0.000226497,0.000226497
87,9131.59,0.60603,0.50893,1.09621,0.91433,0.94784,0.96273,0.85653,0.52238,0.36774,1.06889,0.000212349,0.000212349,0.000212349
88,9236.17,0.59731,0.50736,1.09058,0.92797,0.95309,0.96362,0.85413,0.52658,0.35847,1.071,0.000198202,0.000198202,0.000198202
89,9340.89,0.60833,0.50537,1.09562,0.92754,0.94593,0.96536,0.85735,0.52264,0.35706,1.07138,0.000184055,0.000184055,0.000184055
90,9445.86,0.59863,0.4967,1.08924,0.93883,0.93978,0.96427,0.85624,0.52601,0.35808,1.07243,0.000169908,0.000169908,0.000169908
91,9547.92,0.45353,0.33097,0.99626,0.93769,0.93721,0.96765,0.85916,0.52386,0.35682,1.06919,0.000155761,0.000155761,0.000155761
92,9649.8,0.44988,0.31589,0.99178,0.92991,0.95041,0.96485,0.86004,0.52332,0.35559,1.06634,0.000141614,0.000141614,0.000141614
93,9752.01,0.44239,0.31372,0.98537,0.93356,0.94149,0.96601,0.86125,0.52238,0.35478,1.06831,0.000127467,0.000127467,0.000127467
94,9854.14,0.43319,0.30026,0.98706,0.9327,0.94418,0.96543,0.86178,0.5184,0.35304,1.06104,0.00011332,0.00011332,0.00011332
95,9956.17,0.43086,0.29281,0.97972,0.93144,0.9434,0.96513,0.86144,0.52095,0.35537,1.062,9.91726e-05,9.91726e-05,9.91726e-05
96,10057.7,0.42675,0.29554,0.97962,0.93295,0.94513,0.96472,0.86369,0.51476,0.35099,1.05902,8.50255e-05,8.50255e-05,8.50255e-05
97,10159.8,0.42124,0.28901,0.97354,0.93246,0.95215,0.9633,0.86388,0.51675,0.35214,1.05899,7.08784e-05,7.08784e-05,7.08784e-05
98,10261.5,0.42458,0.28739,0.976,0.93605,0.9434,0.96353,0.8634,0.51368,0.34716,1.05864,5.67313e-05,5.67313e-05,5.67313e-05
99,10363.4,0.42135,0.28576,0.97176,0.93031,0.94823,0.96366,0.86577,0.5105,0.34988,1.06013,4.25842e-05,4.25842e-05,4.25842e-05
100,10465.1,0.4195,0.28132,0.97316,0.92998,0.94631,0.9642,0.86558,0.50769,0.34612,1.05469,2.84371e-05,2.84371e-05,2.84371e-05
